# Monte Carlo Subset of Amateur Radio Paths
# Source File: ham_data/20181215_14000-14350kHz_hamSpot.pkl.bz2
#
# Date: 15 December 2018
# Frequency Range: 14.000 - 14.350 MHz
#
# Region: CONUS
#   Lat Limits: (20, 55)
#   Lon Limits: (-130, -56)
#
# N Paths: 3000
# np.random.default_rng() seed: 4888015518515571309
#
call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,pthlen,latcen,loncen,azm
1N8KHW,36.1458333333333,-95.9583333333333,N4JPG,34.1458,-77.875,1656.700878655206,35.48368581503631,-86.80462492599992,92.40467339115304
4A5KES,20.0,-99.0,AI4HH,35.3125,-82.5417,2343.9541897038634,27.899540207524385,-91.35455410767754,40.00029704058886
4U1UN,40.75,-73.9667,AI5I,35.7292,-106.0417,2839.8598782554645,39.34878682206754,-90.5732156815385,269.1188757415875
4U1UN,40.75,-73.9667,KB0WLT,47.4375,-94.875,1820.40853149753,44.571586272047426,-83.82244673908065,301.08488475071726
AA0DY,38.8542,-104.875,KB1LRL,42.5896,-71.7208,2806.421601150483,41.92697423937272,-88.77664036579735,70.78390259479028
AA0N,42.0625,-91.5417,VE2RIH,45.6875,-73.7917,1475.2485894900053,44.219547059897266,-82.93890698504468,68.12510112027974
AA1JM,41.6875,-72.9583,KX4EW,39.5,-77.0,418.9969643247623,40.61135850879082,-75.01222499861859,235.84843642592259
AA1JM,41.6875,-72.9583,N8LI,41.4813,-71.5208,121.73608438160309,41.58663816090145,-72.23840228401673,100.37845260556071
AA1O,42.5208,-71.375,WA3YMM,40.1458,-79.875,756.8179588238818,41.41152720675447,-75.70262842629013,252.4352276498525
AA1WA,42.302,-71.6606,AA5JJ,35.7292,-95.375,2166.6091509778616,39.62001666279859,-84.07744974394349,258.1788526788817
AA2AE,43.1875,-76.375,KB9RFU,41.6875,-88.0416666666667,970.9883758203086,42.58564915353148,-82.27839580832268,264.095303518931
AA2AE,43.1875,-76.375,WA4ZXV,33.9396,-84.1958,1231.50867483166,38.6283896522587,-80.5379351814366,215.99243961149804
AA2EQ,42.1042,-76.0417,KJ0I,39.6521,-105.1792,2452.862732019393,41.80642144955385,-90.88629901170171,273.4411096991076
AA2HQ,42.9704,-77.9013,VY2JB,46.3646,-62.2875,1288.6667328515823,44.93402307594718,-70.3244629903819,67.59755178404987
AA2IA,34.6458,-81.0417,K7NWF,33.2292,-111.875,2837.751276062697,34.916483343557495,-96.58979155869818,275.6599173685436
AA2XY,40.6813,-73.9792,N9CDX,41.5021,-90.4125,1378.099122652814,41.38474014908687,-82.14416733105917,279.1873973272511
AA3AE,33.6042,-112.0417,WD0U,38.8521,-90.2875,2031.016903509672,36.72411367665664,-101.53425659229397,67.05990524703867
AA3AR,39.0,-77.0,K8HC,39.3688,-78.1125,104.28562511255532,39.185722368551005,-77.5547906863795,293.50643359414636
AA3AR,39.0,-77.0,KD4AYU,36.1875,-83.875,681.426565559805,37.64361890964184,-80.5025492583527,244.82251062423933
AA3AR,39.0,-77.0,W4AEE,35.8958,-86.875,936.9524281189549,37.55073070580459,-82.04021869063766,251.45775207092203
AA3D,40.7042,-75.5666,K9GM,43.8188,-87.7458,1059.2033895131487,42.4228151883758,-81.50519000918155,293.09874320845523
AA3D,40.7042,-75.5666,KC8JNV,41.1458333333333,-96.2083333333333,1730.8519945080839,41.388124764664305,-85.85260279327576,278.4073040480715
AA3E,40.06,-75.4,W4EEN,33.4188,-86.7875,1253.2676589851062,36.8750761248415,-81.34115490060593,237.4783230878014
AA3FU,40.1458,-74.7917,KJ4LTA,31.3958,-85.375,1361.210684937387,35.886582899751744,-80.37585148119477,227.67843367718808
AA3LX,40.851,-79.9585,AA3YT,40.7021,-111.9375,2677.6472253290335,41.897580559716765,-95.96639930042254,280.2570252037517
AA3LX,40.851,-79.9585,KA9TVT,44.2604,-88.3875,787.0791468029121,42.632940143932856,-84.05763256271867,301.5787214515188
AA3N,35.82,-78.31,KD5ZAT,32.4792,-95.875,1656.0182403237018,34.46408741439977,-87.26760104753146,262.1155074555018
AA3N,35.82,-78.31,N7HHS,42.8125,-105.7917,2475.77326195525,40.13190922773454,-91.34985330542264,296.689974177677
AA3SN,37.9375,-120.625,KC9UQR,42.5,-89.0,2716.2839123164276,41.310457159995885,-105.35910312166502,69.1993647843749
AA4AL,28.5208,-81.625,WV4V,28.5,-83.0,134.37093205286,28.512130116930777,-82.3125677885933,269.34197111502874
AA4B,38.0303,-78.4669,WB4FAY,33.4188,-86.7875,908.8435445917938,35.79617956678603,-82.74789124673916,238.16728300845233
AA4D,38.0706,-78.4793,N9RC,39.2813,-84.3958,530.843003396815,38.7132272154616,-81.41250841206728,286.5246616282468
AA4DD,36.5607,-82.2906,NP2Q,18.3521,-64.9292,2642.7592581827644,27.725468114775158,-72.8815461609564,135.3517043828747
AA4DD,36.5607,-82.2906,W4NSS,28.9375,-82.4583,847.8057580936639,32.74912786392058,-82.3780431473499,181.1062027055434
AA4GT,26.1042,-81.7083,W1DR,27.5,-81.0,170.38267584029973,26.80254049673974,-81.35632938016238,24.208544939172327
AA4GT,26.1042,-81.7083,W3QS,39.6104,-86.3708,1563.0478602084193,32.87879805421045,-83.86115936593816,345.05869184521447
AA4I,39.5573,-105.0254,K1VI,41.8813,-71.3458,2831.867605454585,41.9641607509929,-88.48836270126093,73.77643067152923
AA4I,39.5573,-105.0254,W1DIG,41.4896,-72.9708,2702.351827158486,41.64830270450639,-89.23535691433402,75.01027120341246
AA4JS,26.6875,-81.7917,KG8IC,35.4375,-94.5417,1553.6670449364524,31.219467810608815,-87.87170098909598,311.8663210406383
AA4KK,32.2688,-81.0708,K4LPQ,36.4021,-82.4625,477.01747193770524,34.33741692193737,-81.74949743745813,344.8511116011946
AA4M,32.2521,-110.8208,K1RAH,26.5,-83.0,2762.128185014168,30.110039700396307,-96.50909870293108,96.15231316054485
AA5AU,29.8542,-90.0417,N9KJU,41.8958,-88.125,1349.9508116804006,35.87878396219992,-89.15645815088044,6.798613916455736
AA5I,32.9813,-96.7375,W0FK,38.6604,-90.4625,847.4016710757835,35.86159375103946,-93.71243530879737,40.058637824696234
