# Monte Carlo Subset of Amateur Radio Paths
# Source File: ham_data/20181215_14000-14350kHz_hamSpot.pkl.bz2
#
# Date: 15 December 2018
# Frequency Range: 14.000 - 14.350 MHz
#
# Region: CONUS
#   Lat Limits: (20, 55)
#   Lon Limits: (-130, -56)
#
# N Paths: 3000
# np.random.default_rng() seed: 4888015518515571309
#
call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,pthlen,latcen,loncen,azm
AA5SH,30.5208,-90.9583,N9UUR,43.1875,-87.9583,1433.2675752834425,36.86350953681562,-89.58312084431768,9.849439774013433
AA5UI,36.1168,-94.6609,K7IFG,45.2521,-122.4625,2538.407256744685,41.523996150850046,-107.58792583437527,302.18668450553895
AA5WF,32.3313,-99.9292,KC2DPF,38.3542,-77.0417,2174.573080104014,35.886629344253116,-88.9181501837404,65.66304964381965
AA6MK,37.6695,-122.0465,KD9DP,41.4188,-87.3458,2984.282618636016,40.85844024105731,-105.17988027071917,71.01159237041384
AA6RE,37.2813,-121.9458,AF5WW,30.4375,-97.7916666666667,2348.7019303735506,34.454206562543156,-109.3769225939814,101.75884946431597
AA6RE,37.2813,-121.9458,WD9DUI,33.8313,-118.3125,505.07324520023593,35.56992164654484,-120.0900312610028,138.34020681727156
AA7FV,32.2708333333333,-110.708333333333,AC8TE,42.5896,-83.2875,2663.3166004208697,38.22858329877651,-97.96385085579038,56.631970086339436
AA7NM,46.9791666666667,-122.791666666667,W5CRR,33.1042,-97.125,2654.8021366320013,40.74935967517834,-108.62397046428426,116.30686567676412
AA7TJ,31.7802,-106.2269,G7JWR_W4,28.2292,-81.125,2443.572081365502,30.608230230681695,-93.44762237766051,92.77426814297365
AA7US,32.8979,-114.5042,WA4UT,36.3125,-86.5417,2578.0774566229948,35.41448151728644,-100.81633723769373,73.67630345651025
AA8GP,39.2604,-84.2708,W9DUB,42.8813,-87.8875,503.90082078043844,41.08497673458657,-86.02932095231216,324.1945634075377
AA8HS,41.7104,-83.6958,WA2ZKD,43.1458333333333,-77.625,523.0612268595728,42.4681729053833,-80.69518836405442,70.20472739791666
AA8KR,42.5604,-83.0708,KD7TQK,35.8958,-106.2917,2124.6495216919434,39.80819527822807,-95.24081474271266,257.35259540678015
AA8KR,42.5604,-83.0708,W1MBG,42.7313,-71.3125,961.1219105253466,42.796452859521885,-77.19975408034966,84.88147548542509
AA9D,42.0313,-88.2792,K9RU,39.7688,-86.1125,310.5449267450676,40.905117530653094,-87.17731700966362,143.38665718316645
AA9L,42.9104,-87.8625,KF7YED,46.3125,-113.375,2045.340640586183,45.32675347859477,-100.23872856732991,289.47416856854284
AA9RR,42.5188,-87.8792,AD9P,44.8542,-89.625,295.1793871238626,43.689820037579366,-88.7351039668266,332.2053651528683
AA9RR,42.5188,-87.8792,N8LSU,40.8104,-81.9292,529.3549740759526,41.70297016843927,-84.86469353762877,109.02725533494663
AA9RR,42.5188,-87.8792,WA7LNW,37.1313,-113.4875,2257.7801984436296,40.53510711020137,-101.1942408611581,263.2206041288808
AA9UF,40.3396,-88.5208,KK9G,41.6875,-86.2083,245.15639498727754,41.01932687015812,-87.37638058597466,51.56026747454791
AA9UF,40.3396,-88.5208,N1TGE,41.3542,-72.7083,1332.9743124833246,41.11781264038484,-80.67546316611975,79.99235454151994
AB0BW,44.0625,-92.4583,KC3AK,40.3021,-76.5875,1370.3481579119532,42.45649179703098,-84.2853207991657,102.27203948663146
AB0GD,39.3542,-94.7917,K7WLX,39.1875,-119.7917,2145.2386739401127,39.94594413969515,-107.30680859024798,277.5025215991876
AB0GD,39.3542,-94.7917,N9UUR,43.1875,-87.9583,712.2233052406917,41.32134788075743,-91.47546402439242,51.04495681609251
AB0GD,39.3542,-94.7917,WF8E,33.7688,-84.2875,1123.905181941072,36.67675647823708,-89.34906294595476,120.28217163868254
AB0GT,38.0208,-90.7083,AI6OI,34.2292,-118.2917,2503.5644236916214,36.92617790401999,-104.8397789236244,268.76641955965096
AB0R,44.94,-93.1,N8XTH,41.0896,-81.1792,1058.2057681538054,43.16959577972232,-86.95199606557617,109.67677218667274
AB0RX,38.7237,-90.4373,K3FAZ,40.7313,-79.7292,941.8952877264377,39.850668019470305,-85.16143672516922,72.9107068957021
AB0RX,38.7237,-90.4373,KE0EF,39.7688,-105.0875,1265.4886768556603,39.47646749148768,-97.70752327626641,279.8839584364866
AB1WE,41.8542,-71.375,N3OGT,40.3813,-77.8792,568.7699789916946,41.16349785372953,-74.66362920846923,255.42715014020425
AB1WG,44.5208,-73.2917,WA2AXO,40.6875,-73.4583,426.461263153481,42.60418014223589,-73.37756368496895,181.8890049590659
AB1XG,43.4375,-71.625,KE0PCK,39.3125,-104.875,2793.011082373379,42.59014377622378,-88.79267504641878,272.0464131694636
AB1YD,41.8542,-71.4583,K9BPS,44.3542,-88.125,1378.7703247964275,43.40759141387824,-79.62025767872713,287.24627622518886
AB1YD,41.8542,-71.4583,KA1AF,28.9104,-81.9875,1723.9739080636846,35.495976622049874,-77.14822736680432,216.75725876854682
AB3BO,39.6896,-76.7208,K2DV,43.1458,-77.7917,394.5397133624777,41.41894036830913,-77.24199849584359,347.2711029625552
AB3JF,40.8542,-79.625,K4NDN,38.4104,-78.6125,285.23022489024726,39.63339837528062,-79.10980661459418,161.9781965455004
AB3TS,38.9688,-76.4958,N0GRI,44.8958,-93.2083,1527.6509971788664,42.235814838768135,-84.46069180865827,300.9332295978872
AB3WF,39.4313,-76.3458,N2JNZ,44.7021,-75.4708,590.509391998794,42.06752936872751,-75.92647485088057,6.734818131901989
AB4BC,36.5021,-80.6125,WA2FEB,40.5,-75.0,660.1555908262881,38.534522995496964,-77.88422414941091,45.971204558181455
AB4DK,36.5,-83.0,N5LYJ,35.6458,-97.4583,1301.683614059655,36.290784187264975,-90.26861734500453,270.1131229568357
AB4GW,26.5813,-81.9375,W2ZF,40.7188,-73.8625,1738.6790558381051,33.71530544451601,-78.2338181537666,23.265983262952147
AB4OK,33.9792,-83.9583,KF2VX,42.7604,-78.6125,1081.3481143456795,38.40004462682608,-81.44800266759246,23.888089138766645
AB4QA,34.5,-89.0,WB6JHI,37.2188,-121.9875,2973.098219307391,37.00932727813357,-105.20276274096275,285.48881878720067
AB4RW,34.7708,-85.375,W9FE,39.0396,-89.9458,624.6949774721276,36.927077187230914,-87.59640217266539,320.7820571801626
AB4WL,33.6104,-86.7958,WC4U,29.6813,-82.3708,605.1143254038512,31.66492966447032,-84.53650413834286,135.02458631519488
AB5GC,30.1875,-92.0417,K0DCK,44.0208,-103.2917,1829.4939051956285,37.236171336751774,-97.14890813668347,330.3096370823346
AB5SS,29.5625,-95.125,VA3CP,43.2188,-79.9125,2032.9880783365634,36.630896676129325,-88.19394618819301,37.556695964262474
AB5TH,30.5208,-90.875,K8CMO,39.1688,-84.2792,1133.6608140797562,34.88921931981596,-87.75089020446828,30.206303448476262
AB5XM,29.4792,-98.625,KC8JNV,41.1458333333333,-96.2083333333333,1315.5130039587202,35.31849581025889,-97.50412607582098,8.909618024535916
AB5XS,32.8604,-97.1792,KA5BJC,41.6458,-73.875,2272.46936325037,37.8275140284436,-86.21732524532129,57.84921734623748
AB5ZR,37.0625,-104.5417,N4CQR,37.5688,-84.2875,1788.5817955405566,37.75028986674615,-94.44906543003951,82.03868266931238
AB6MB,37.5104,-122.0375,K0LW,38.7292,-94.5417,2400.1053351432133,38.93126164021144,-108.40659332375952,78.24825003034977
AB6MB,37.5104,-122.0375,K7CAN,39.3542,-119.2083,320.536294991182,38.44080273648483,-120.64096642229927,49.36859581976023
AB6OR,33.8125,-117.7917,W7GAB,47.7313,-122.3375,1593.5938525425381,40.79395601700493,-119.82523139174991,347.5634292001874
AB6SO,37.5,-123.0,KF5SPQ,32.4792,-99.7917,2180.4139168594847,35.54685457797458,-111.03480572702715,97.87146188522797
AB9AX,43.4375,-88.125,W8ISH,39.6458,-86.0417,455.83540309616177,41.54634616392903,-87.05279698834487,156.94851044232541
AB9KZ,40.3372,-85.6981,VE3TKB,42.9646,-81.2958,468.00855015233725,41.671893593774186,-83.54186852024742,49.9368105204731
AB9TO,41.8125,-87.625,W4KEP,37.5,-81.0,742.2904848312144,39.70328429823458,-84.2090006821838,128.05965884061135
AB9V,40.0396,-86.1292,KG9I,41.8542,-87.9583,253.58456633517446,40.95051253022617,-87.03118220844578,323.31202943402883
AC0B,46.843,-92.3269,KQ8M,41.69,-81.33,1044.9569877186225,44.398327857076026,-86.58654029675155,119.26168862295197
AC0B,46.843,-92.3269,VE3ARF,45.0604,-74.7708,1368.704710101619,46.28888747799731,-83.4065580597602,91.91034376468292
AC0B,46.843,-92.3269,W9XG,41.4373,-90.5116,618.2458768209483,44.143735625807864,-91.37766475722717,165.8117841414354
AC0E,37.9792,-100.875,KB9ML,39.9104,-85.1458,1375.2765054770541,39.20971576819848,-93.11820650967391,76.12208006633574
AC0E,37.9792,-100.875,N5AVF,31.4792,-95.375,879.9413870119358,34.760069712182464,-98.01667139029544,143.57962574233244
AC0OW,38.8604,-94.6292,K0WFS,45.2708,-93.625,717.5906546187066,42.06669146857282,-94.15247607496245,6.300073432088027
AC1DC,42.7396,-71.4625,WW1WW,43.3813,-71.7125,74.18807741859372,43.060518018928775,-71.58684586242559,344.1963628250741
AC1DV,41.7688,-71.3458,N4FV,36.0208,-82.7083,1171.2516114824964,39.03251717435648,-77.25790265787775,240.65289626894767
AC2OC,40.6042,-74.2083,KB6OJE,32.6396,-96.9125,2202.9469741535904,37.163912808422126,-86.1555790350009,253.52963265281372
AC2OC,40.6042,-74.2083,WN2J,26.5313,-81.8292,1714.9935866473547,33.62580054135513,-78.33130976278606,206.4967436208784
AC2XM,40.8313,-74.4792,KX9M,43.1313,-88.2125,1162.1782212245394,42.186393525085066,-81.22122178092718,287.24289048562423
AC4FZ,35.3958,-78.875,VE1CR,46.7708,-60.2917,1997.5778399705453,41.45559712879043,-70.39723096020883,45.04701289452453
AC4PS,30.2292,-81.5417,N4LCC,34.3104,-83.6292,494.3947003964146,32.27409003887921,-82.56196487043995,337.1630154758053
AC5KD,29.5521,-95.2708,KC4YAU,32.4792,-86.375,907.6865636545955,31.09200349469796,-90.89136210811749,66.74103830327931
AC5KD,29.5521,-95.2708,WA1UZO,41.6458,-73.4583,2375.906266781863,36.09177031780593,-85.20171556722691,49.649192571464255
AC5MR,35.0396,-89.5375,KK7YJ,46.5,-115.0,2477.818039838739,41.470955457589504,-101.14884214757271,308.6986130480729
AC7FD,45.5188,-122.8458,KD9HQP,41.9688,-88.1958,2789.2584143714503,45.07230542474233,-104.99070725480067,85.64870005129546
AC7FD,45.5188,-122.8458,VA5KG,50.3896,-105.5458,1393.3704154947932,48.27925025104354,-114.60685472428136,60.9091180674543
AC8MW,39.2708,-81.875,KA4RSZ,33.7688,-84.2875,648.5928850805416,36.52586562834185,-83.12417655197245,200.13986066843984
AC8MW,39.2708,-81.875,KC1HBG,42.3021,-71.4292,941.0294533936195,40.904327916994646,-76.77166005127519,65.66651804881053
AC8TE,42.5896,-83.2875,K9DLI,42.2521,-90.2708,574.288581650689,42.47386737653876,-86.78855890392396,268.61586598576764
AC8XO,41.1875,-81.375,WB4HXE,34.0313,-84.1458,832.191606487525,37.61747982108768,-82.8271499813505,197.91299095431398
AC9HP,39.7708,-86.375,K4_DH1OK,38.5,-77.0,820.4361921759064,39.229400953582164,-81.6451044086973,96.92819269474893
AC9HP,39.7708,-86.375,W8ISH,39.6458,-86.0417,31.71901239858149,39.70841911787014,-86.2081990325904,115.88271613202534
AC9S,40.4104,-88.8958,VA3CTX,43.1458,-80.2917,775.1086525964179,41.858396079452284,-84.6856883211969,64.08137587833193
AD0BY,37.5,-89.0,K4NVD,34.9375,-84.125,521.8445732484143,36.243470093510986,-86.52254842352737,121.62668650892687
AD0BY,37.5,-89.0,VE3GZB,43.5271,-80.2042,999.9727347141492,40.596842162620604,-84.80032621210468,45.176243381041104
AD0MO,38.7708333333333,-90.7083333333333,K6BDK,44.5,-121.0,2580.5971705549064,42.64105802691199,-105.16435050542,294.0835679546689
AD0QT,45.8958,-93.4583,K7TM,47.7292,-116.875,1786.7175285698568,47.41303132183667,-104.96423825756597,285.0294070487128
AD0SN,45.0208,-92.875,AE2L,39.3688,-104.8458,1167.5437182012731,42.350377966411145,-99.12923234515492,241.62908002332696
AD4SB,34.5625,-86.9583,KE3ZT,40.1042,-78.625,959.706360260323,37.40639509727823,-82.94572939491736,47.62035587686211
AD5FW,29.5896,-95.2292,AF5WW,30.4375,-97.7916666666667,264.11734696742144,30.019755522873446,-96.50495590011852,291.5511484947816
AD5FW,29.5896,-95.2292,K8KSM,40.1042,-83.2917,1595.015867269618,34.992484646488755,-89.6442170895799,39.68685982099822
AD5FW,29.5896,-95.2292,KB5CUS,33.0313,-97.0625,420.4432792880149,31.313704733519,-96.12909747047219,336.0013976092435
AD5FW,29.5896,-95.2292,WU6K,37.3813,-122.0792,2625.611921265328,34.2182561972663,-108.03811357917141,296.3637256022291
AD5LU,34.069,-98.4068,W6SZ,34.1458333333333,-117.625,1766.7751362433469,34.48427324575855,-108.01149525331039,275.69715972147725
AD6D,29.5,-99.0,KA7RLM,47.1875,-122.2083,2801.574338488271,38.911854785102186,-109.15647457547708,321.01551184060895
AD6D,29.5,-99.0,KB8LOG,43.0208,-86.2083,1886.2182790532036,36.429861944413005,-93.16258310509323,33.69822496461899
AD6D,29.5,-99.0,W0WWT,40.4604,-99.2375,1218.931495587503,34.98025754400157,-99.11077845436478,359.0496904250586
AD6DM,38.0625,-121.375,KG5RMJ,32.7292,-97.5417,2233.2417893048964,35.986654294861346,-109.0581956765247,98.15682355658504
AD6FR,33.9271,-117.3958,K9AVT,41.4375,-106.7917,1250.5275999346288,37.80090738290099,-112.36330962485997,45.02183600190267
AE0AU,44.9521,-93.3375,KD8KOR,41.8125,-85.9583,690.6157426537465,43.44160845733926,-89.55220853478605,117.77028043703865
AE0AU,44.9521,-93.3375,KI4EEY,32.6521,-85.3708,1530.195288941043,38.869281781737705,-89.00847468926932,150.6225838469707
AE0AU,44.9521,-93.3375,N1MDX,42.0604,-71.2375,1805.2475055118032,44.041546509560334,-82.01944218244927,92.44138691332239
AE0G,40.2793,-96.7332,N6VH,32.8125,-116.9583,1982.2506790161033,36.9749939939637,-107.33997653875302,251.63631702613958
AE0X,36.8958,-94.5417,AB8CM,41.0396,-81.5625,1211.4732716818921,39.14775214052696,-88.24281425306519,63.671662483087744
AE0XI,42.9396,-97.6458,KA4DTL,27.3125,-82.4583,2212.2361357447035,35.36167181037609,-89.31469923495514,136.8412073899599
AE1BB,42.8313,-71.4625,W1PTS,35.5188,-82.3958,1242.854339118927,39.30266255032031,-77.21466050804179,232.78566335651945
AE1BB,42.8313,-71.4625,W2GHD,42.1042,-76.0417,384.1530980211905,42.490540508085424,-73.76540454053782,259.4049637840091
AE1BB,42.8313,-71.4625,WP4JCF,18.1813,-66.2958,2783.8840140591465,30.531363600874865,-68.54636267841349,168.33588636949787
AE4EC,25.9021,-80.3292,KG4CDR,34.5625,-84.7083,1050.5453233863238,30.25047224501577,-82.42208359719817,337.4764825745965
AE4GH,37.7521,-85.9625,K4VBM,33.9688,-84.2292,448.72048827881247,35.86356024665668,-85.075158704028,159.11712351319807
AE4GH,37.7521,-85.9625,N6PCD,34.1021,-117.6625,2869.1475924904416,36.987873865692265,-102.18806861367105,271.5760834172907
AE4H,39.0208,-84.4583,K9DXR,40.4604,-87.6708,317.8872236383523,39.75166900035569,-86.04776751892106,301.25260142105077
AE4H,39.0208,-84.4583,KH2GM,38.6313,-76.9792,649.1518151892485,38.885711690074935,-80.70850611634393,91.47244224727893
AE4IN,32.7292,-86.125,VA3CP,43.2188,-79.9125,1286.2906019558104,38.014658094149695,-83.24153466204068,23.15810178683506
AE4WC,37.3125,-79.9583,W5CTW,32.5813,-96.8625,1625.2994209800413,35.24097702010925,-88.65618972402987,256.1490486155476
AE5AE,33.04,-96.74,N6PCD,34.1021,-117.6625,1938.635152461112,34.01493923516352,-107.13617339460754,279.2776669479476
AE5AE,33.04,-96.74,W9EN,33.7688,-111.9208,1410.2284504020702,33.63655044722643,-104.2983753283082,277.46812650755606
AE5E,48.1095,-96.1922,W6ACU,32.7313,-117.1208,2447.0379036885843,40.88896398086067,-107.87313290226841,233.3122538437487
AE5EO,29.8542,-94.875,AJ6CY,37.6458,-121.7917,2624.0569198181206,34.489244745080065,-107.70946714943834,296.44326502963906
AE5EO,29.8542,-94.875,KE0PCK,39.3125,-104.875,1392.435370492759,34.68516604522115,-99.5891053029712,321.7101357436921
AE5I,32.5204,-90.1752,K8FER,38.4375,-82.2083,975.6342724532556,35.54438739402513,-86.3387210914239,45.37466813882128
AE5I,32.5204,-90.1752,NY1AM,43.0625,-78.7917,1538.0233438659757,37.92795638974062,-84.89197721104264,37.098164919393525
AE5MM,35.9792,-95.875,KK4MZR,35.4792,-79.2917,1496.1465041627587,36.015081645317366,-87.55714129439895,87.24783798017222
AE5MM,35.9792,-95.875,N8LI,41.4813,-71.5208,2191.03343146497,39.367181215948605,-84.17437115574864,66.38830400678296
AE5OL,34.5,-89.0,KK4E,33.8542,-84.375,431.4398407409328,34.19879694583291,-86.6786458445365,98.2753724824338
AE5OL,34.5,-89.0,KR4PI,26.6042,-81.875,1111.1558926679284,30.60055549392175,-85.29218957629477,140.2745344261789
AE5OL,34.5,-89.0,W2GHD,42.1042,-76.0417,1409.2733318139956,38.480302770253545,-82.86238275370768,49.31401149583178
AE5P,31.6129,-94.6495,WD2RA,41.1458,-74.9583,2049.751939453435,36.78462925658771,-85.4147028223492,53.3628808992342
AE5UV,32.7021,-97.3875,KM4KLB,38.7896,-77.6125,1903.8459594552028,36.15272675219241,-87.88222629528663,63.6044886724344
AE5UV,32.7021,-97.3875,W7FIX,36.0396,-115.1458,1668.9989302553397,34.6933032359905,-106.08829181793736,287.76838654294573
AE5UZ,29.9375,-98.2083,KX4EW,39.5,-77.0,2202.85666423466,35.18057646288181,-88.22583069903727,55.450524771586004
AE5UZ,29.9375,-98.2083,W7SUA,34.7706,-112.5325,1447.1133152005084,32.55713567556395,-105.17792117283781,295.51416406660326
AE5VM,36.0625,-106.041666666667,W6SAI,33.2313,-87.5375,1718.9635108752266,34.998508395647114,-96.63019370382551,95.15226995272025
AE7BZ,43.5,-117.0,VE7WY,49.0625,-122.5417,750.5022027516549,46.314642058957794,-119.62997319936704,327.42556309158
AE7WP,34.7688,-112.4458,N0FMX,44.0208333333333,-92.5416666666667,1988.1104269592624,39.81957658657686,-103.16177170088555,52.88148098124958
AE7YQ,31.9791666666667,-111.125,WX9C,40.1313,-87.3875,2309.2180483911907,36.64468359360727,-99.88092773390674,60.22883101268337
AE8MM,41.1396,-81.4792,KA5GTM,39.4375,-103.9583,1910.6797044975058,40.83659015887291,-92.86212889661222,271.7270062053121
AE9R,39.7604,-86.3875,K3PP,40.8542,-75.625,920.0814482525494,40.43218113465224,-81.04995194706416,78.9438692898787
AF0Y,44.4688,-93.4208,N6LZ,33.6875,-117.875,2413.8281814039347,39.71907430504544,-106.59922717160207,248.6313340066875
AF4FA,26.1813,-80.2292,N5WX,35.5,-97.0,1902.8299419033597,31.11174467290751,-88.203613163089,307.02921845346106
AF4GQ,35.0494,-89.0064,K4ZLT,35.6313,-82.4792,595.4625482894403,35.38424207988636,-85.75456446681872,81.88054394220319
AF4T,36.3542,-82.375,K8FER,38.4375,-82.2083,232.11985349514345,37.39587924573411,-82.29280850533182,3.586996072509862
AF4T,36.3542,-82.375,N5WX,35.5,-97.0,1319.0165666518903,36.14969356973918,-89.72721425025343,270.20298010898955
AF4Z,28.5,-81.0,W2ZDP,34.5,-79.0,693.5412697270506,31.503884070245142,-80.03211878646542,15.351022531755802
AF5Q,34.6042,-98.375,VE6CZT,51.0438,-114.1292,2224.1550720087093,43.0900033506696,-105.19094656997599,330.0624409632572
AF6JO,32.5,-117.0,KJ6NA,39.5,-107.0,1188.1883348237582,36.10373095876347,-112.22275083940666,46.27248220077411
AF6JO,32.5,-117.0,WA5PSA,36.5,-97.0,1882.1700467001724,34.91030673413849,-107.2424693943182,70.78859404790978
AF6PM,47.5,-117.0,VA5KG,50.3896,-105.5458,894.9497412049512,49.086628671722345,-111.43929968813407,64.72771713848158
AF8P,42.7708,-83.375,KC3LXI,39.0208,-76.2917,726.4514196315085,40.949967935195396,-79.73280510975233,122.645713852423
AF8P,42.7708,-83.375,KC9TMH,42.1875,-88.2917,408.3343583928183,42.50542620399778,-85.84481538363612,262.52810364787683
AF8P,42.7708,-83.375,KF9KV,42.8104,-89.6292,510.24114430693635,42.833164596327165,-86.50109864356975,272.6192983246103
AF9A,39.9021,-86.1792,N8CM,42.2604,-85.6208,266.37304317134374,41.08158684842339,-85.9050099481842,9.936875244711416
AF9A,39.9021,-86.1792,VE3EKN,45.5,-77.0,973.63167996536,42.792587591447095,-81.79710685691384,47.264628130507106
AF9A,39.9021,-86.1792,VE5ZX,52.1875,-106.7083,2078.9162475005946,46.500697796388906,-95.28574729273059,317.87787259395066
AG0W,39.6458,-104.9583,N2UZ,28.9104,-81.9875,2414.3716019780045,34.817161619003656,-92.72738166156643,112.56847488658593
AG0W,39.6458,-104.9583,VE3HLM,45.3542,-75.875,2452.5363661957667,43.428343953759054,-91.09559517209472,65.45399309695892
AG2J,39.0625,-74.7083,K5PS,33.1104,-96.0958,2026.8273119178386,36.56480834377508,-85.81202149215672,257.56633202542514
AG4T,25.7798,-80.4139,K4JDF,39.5396,-76.0875,1582.1526069047281,32.678148759299184,-78.41808281223231,13.691332133803144
