date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 15:40:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 15:50:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 16:00:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 16:10:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 17:40:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 17:50:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 18:00:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 18:10:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 18:20:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 19:50:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 20:00:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
2018-12-15 20:10:00,W1KMA,41.7021,-71.4625,KE9V,40.1875,-85.375,14.0,,Raytrace,iri2016,1179,41.154421985051655,-78.49891866512684
